stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,location_monitoring_station,Air Quality Index,Green Zones
193,30-04-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,99,"Head Office, Bamunimaidan, Guwahati",10,1
193,30-06-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,10,77,"Head Office, Bamunimaidan, Guwahati",10,1
193,31-07-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,10,64,"Head Office, Bamunimaidan, Guwahati",7,1
193,31-08-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,11,84,"Head Office, Bamunimaidan, Guwahati",9,1
193,30-09-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,12,78,"Head Office, Bamunimaidan, Guwahati",10,1
193,30-10-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,13,87,"Head Office, Bamunimaidan, Guwahati",11,1
193,30-11-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,83,"Head Office, Bamunimaidan, Guwahati",11,1
193,31-12-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",9,20,124,"Head Office, Bamunimaidan, Guwahati",13,1
193,31-03-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",11,18,224,"Head Office, Bamunimaidan, Guwahati",16,1
519,31-03-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",11,18,228,"ITI Building, Gopinath Nagar, Guwahati",16,1
519,30-04-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,111,"ITI Building, Gopinath Nagar, Guwahati",10,1
519,30-06-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,11,67,"ITI Building, Gopinath Nagar, Guwahati",9,1
519,31-07-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",4,9,53,"ITI Building, Gopinath Nagar, Guwahati",6,1
519,31-08-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,10,65,"ITI Building, Gopinath Nagar, Guwahati",7,1
519,30-09-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,12,79,"ITI Building, Gopinath Nagar, Guwahati",9,1
519,30-10-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,81,"ITI Building, Gopinath Nagar, Guwahati",9,1
519,30-11-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,86,"ITI Building, Gopinath Nagar, Guwahati",10,1
519,31-12-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",10,24,106,"ITI Building, Gopinath Nagar, Guwahati",14,1
520,31-08-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,28,"Barpara Office Building, Bongaigaon",10,1
520,30-09-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,51,"Barpara Office Building, Bongaigaon",11,1
520,30-11-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,15,71,"Barpara Office Building, Bongaigaon",9,1
536,30-04-2015,Assam,Tezpur,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,15,162,"Tezpur Office Building, Tezpur",11,1
536,31-08-2015,Assam,Tezpur,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,12,33,"Tezpur Office Building, Tezpur",10,1
536,30-09-2015,Assam,Tezpur,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,59,"Tezpur Office Building, Tezpur",10,1
537,30-10-2015,Assam,Sivasagar,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,12,50,"Sibasagar Office Building, Sibasagar",9,1
537,30-11-2015,Assam,Sivasagar,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,17,67,"Sibasagar Office Building, Sibasagar",9,1
537,31-12-2015,Assam,Sivasagar,Assam State Pollution Control Board,"Residential, Rural and other Areas",9,17,71,"Sibasagar Office Building, Sibasagar",13,1
538,31-03-2015,Assam,Dibrugarh,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,160,"Dibrugarh Office Building, Dibrugarh",11,1
538,30-06-2015,Assam,Dibrugarh,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,15,121,"Dibrugarh Office Building, Dibrugarh",11,1
538,30-10-2015,Assam,Dibrugarh,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,121,"Dibrugarh Office Building, Dibrugarh",10,1
539,30-04-2015,Assam,Golaghat,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,133,"Golaghat Office Building, Golaghat",10,1
539,30-06-2015,Assam,Golaghat,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,116,"Golaghat Office Building, Golaghat",9,1
539,30-09-2015,Assam,Golaghat,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,130,"Golaghat Office Building, Golaghat",10,1
541,31-03-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,16,220,"Near Pragjyotish College, Santipur, Guwahati",11,1
541,30-04-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,110,"Near Pragjyotish College, Santipur, Guwahati",10,1
541,30-06-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,12,82,"Near Pragjyotish College, Santipur, Guwahati",10,1
541,31-07-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,14,72,"Near Pragjyotish College, Santipur, Guwahati",7,1
541,31-08-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,11,60,"Near Pragjyotish College, Santipur, Guwahati",7,1
541,30-09-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,11,72,"Near Pragjyotish College, Santipur, Guwahati",9,1
541,30-10-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,12,73,"Near Pragjyotish College, Santipur, Guwahati",9,1
541,30-11-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,75,"Near Pragjyotish College, Santipur, Guwahati",10,1
541,31-12-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,23,141,"Near Pragjyotish College, Santipur, Guwahati",11,1
542,30-04-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,42,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",9,1
542,30-06-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,40,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",9,1
542,31-12-2015,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,81,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",9,1
567,28-02-2015,Assam,Silcher,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,16,82,"Office building of RLO, near Ithkola Market, Ghaniwala road",11,1
586,28-02-2015,Assam,Margherita,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,81,"Coal India Office Complex, Margherita,Tinsukia,Assam",10,1
586,30-06-2015,Assam,Margherita,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,15,123,"Coal India Office Complex, Margherita,Tinsukia,Assam",11,1
586,31-07-2015,Assam,Margherita,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,120,"Coal India Office Complex, Margherita,Tinsukia,Assam",10,1
586,30-10-2015,Assam,Margherita,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,126,"Coal India Office Complex, Margherita,Tinsukia,Assam",11,1
586,30-11-2015,Assam,Margherita,Assam State Pollution Control Board,"Residential, Rural and other Areas",9,20,131,"Coal India Office Complex, Margherita,Tinsukia,Assam",13,1
587,30-04-2015,Assam,Lakhimpur,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,90,"Bazar Patti, North Lakhimpur Town,Lakhimpur, Assam",10,1
594,31-01-2015,Assam,Tinsukia,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,13,64,"Digboi Carbon Factory Campus, Borguri, Tinsukia",11,1
594,30-04-2015,Assam,Tinsukia,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,127,"Digboi Carbon Factory Campus, Borguri, Tinsukia",11,1
594,31-08-2015,Assam,Tinsukia,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,12,103,"Digboi Carbon Factory Campus, Borguri, Tinsukia",9,1
595,31-01-2015,Assam,Nagaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,13,60,"Water Resources Division Office Campus, Christian Patty, near Nagaon College",11,1
595,31-03-2015,Assam,Nagaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",9,15,226,"Water Resources Division Office Campus, Christian Patty, near Nagaon College",13,1
596,31-03-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",11,19,239,"Khanapara, Central Dairy, Guwahati, Dist Kamrup",16,1
596,30-04-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,104,"Khanapara, Central Dairy, Guwahati, Dist Kamrup",10,1
596,31-07-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,11,68,"Khanapara, Central Dairy, Guwahati, Dist Kamrup",9,1
596,31-08-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,11,65,"Khanapara, Central Dairy, Guwahati, Dist Kamrup",9,1
596,30-09-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,74,"Khanapara, Central Dairy, Guwahati, Dist Kamrup",10,1
596,30-10-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,75,"Khanapara, Central Dairy, Guwahati, Dist Kamrup",10,1
596,30-11-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,73,"Khanapara, Central Dairy, Guwahati, Dist Kamrup",11,1
596,31-12-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,22,116,"Khanapara, Central Dairy, Guwahati, Dist Kamrup",11,1
597,31-07-2015,Assam,Nalbari,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,13,96,"Campus of PWD Rural Division, near Gordon Boy's GS School, Dist- Nalbari",7,1
597,30-10-2015,Assam,Nalbari,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,130,"Campus of PWD Rural Division, near Gordon Boy's GS School, Dist- Nalbari",10,1
602,31-03-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",10,18,209,"Guwahati University Campus, Dist- Kamrup, Guwahati",14,1
602,30-04-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,96,"Guwahati University Campus, Dist- Kamrup, Guwahati",10,1
602,30-06-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,13,89,"Guwahati University Campus, Dist- Kamrup, Guwahati",7,1
602,31-07-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,12,70,"Guwahati University Campus, Dist- Kamrup, Guwahati",7,1
602,31-08-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,73,"Guwahati University Campus, Dist- Kamrup, Guwahati",9,1
602,30-09-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,73,"Guwahati University Campus, Dist- Kamrup, Guwahati",10,1
602,30-10-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,80,"Guwahati University Campus, Dist- Kamrup, Guwahati",9,1
602,30-11-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,16,70,"Guwahati University Campus, Dist- Kamrup, Guwahati",11,1
602,31-12-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,24,102,"Guwahati University Campus, Dist- Kamrup, Guwahati",11,1
603,30-04-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,81,"Boargaon, Dist- Kamrup,Guwahati",10,1
603,31-08-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,10,63,"Boargaon, Dist- Kamrup,Guwahati",7,1
603,30-10-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",8,13,75,"Boargaon, Dist- Kamrup,Guwahati",11,1
603,30-11-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,77,"Boargaon, Dist- Kamrup,Guwahati",10,1
603,31-12-2015,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",11,20,138,"Boargaon, Dist- Kamrup,Guwahati",16,1
604,31-03-2015,Assam,Sivasagar,Assam State Pollution Control Board,"Residential, Rural and other Areas",5,12,44,"ONGC Colony, Sivasagar",7,1
604,30-06-2015,Assam,Sivasagar,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,69,"ONGC Colony, Sivasagar",9,1
604,31-07-2015,Assam,Sivasagar,Assam State Pollution Control Board,"Residential, Rural and other Areas",6,12,70,"ONGC Colony, Sivasagar",9,1
604,30-10-2015,Assam,Sivasagar,Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,81,"ONGC Colony, Sivasagar",10,1
605,30-04-2015,Assam,Tinsukia,Assam State Pollution Control Board,"Residential, Rural and other Areas",9,19,162,"Borguri, Tinsukia",13,1
605,30-11-2015,Assam,Tinsukia,Assam State Pollution Control Board,"Residential, Rural and other Areas",9,19,125,"Borguri, Tinsukia",13,1
106,31-08-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,Industrial Area,2,20,48,"Modern Foods, Industrial Area, Chandigarh",3,1
106,30-09-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,Industrial Area,2,39,78,"Modern Foods, Industrial Area, Chandigarh",3,1
106,30-10-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,Industrial Area,2,29,159,"Modern Foods, Industrial Area, Chandigarh",3,1
106,30-11-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,Industrial Area,2,43,82,"Modern Foods, Industrial Area, Chandigarh",3,1
263,31-01-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,20,64,"Sector-17 C, Chandigarh",3,1
263,28-02-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,21,83,"Sector-17 C, Chandigarh",3,1
263,30-04-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,20,82,"Sector-17 C, Chandigarh",3,1
263,30-06-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,23,67,"Sector-17 C, Chandigarh",3,1
263,31-12-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,60,116,"Sector-17 C, Chandigarh",3,1
264,31-08-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,17,60,"Punjab Engineering College, Sector-12, Chandigarh",3,1
264,30-09-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,28,71,"Punjab Engineering College, Sector-12, Chandigarh",3,1
264,30-10-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,21,118,"Punjab Engineering College, Sector-12, Chandigarh",3,1
264,30-11-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,28,168,"Punjab Engineering College, Sector-12, Chandigarh",3,1
463,28-02-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,26,77,"IMTECH Sector 39, Chandigarh",3,1
463,30-04-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,23,86,"IMTECH Sector 39, Chandigarh",3,1
463,30-06-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,26,72,"IMTECH Sector 39, Chandigarh",3,1
463,31-12-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,70,115,"IMTECH Sector 39, Chandigarh",3,1
464,28-02-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,27,125,"Kaimbwala Village, Chandigarh",3,1
464,30-04-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,15,95,"Kaimbwala Village, Chandigarh",3,1
464,30-06-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,19,74,"Kaimbwala Village, Chandigarh",3,1
464,31-12-2015,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2,58,154,"Kaimbwala Village, Chandigarh",3,1
65,31-03-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,30,163,"Visak Hostel, Sector-4, Bhilai",14,1
65,30-06-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,22,93,"Visak Hostel, Sector-4, Bhilai",16,1
65,31-08-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,22,86,"Visak Hostel, Sector-4, Bhilai",14,1
65,30-10-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,20,94,"Visak Hostel, Sector-4, Bhilai",13,1
67,30-04-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",6,15,70,"R.O., 5/32 Banglow Office Building, Bhilai",9,1
67,31-08-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",6,16,68,"R.O., 5/32 Banglow Office Building, Bhilai",9,1
67,30-11-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",5,16,77,"R.O., 5/32 Banglow Office Building, Bhilai",7,1
67,31-12-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",5,14,73,"R.O., 5/32 Banglow Office Building, Bhilai",7,1
223,30-11-2015,Chhattisgarh,Raipur,Chattisgarh Environment Conservation Board,Industrial Area,16,38,243,M/S Wool Worth India Pvt. Ltd. Sarora Raipur,23,1
245,31-01-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,Industrial Area,11,31,168,"M.P. Laghu Udyog Nigam, Bhilai",16,1
245,28-02-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,Industrial Area,11,31,168,"M.P. Laghu Udyog Nigam, Bhilai",16,1
245,30-09-2015,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,Industrial Area,11,31,149,"M.P. Laghu Udyog Nigam, Bhilai",16,1
249,28-02-2015,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,17,68,"Pragati Nagar NTPC Colony, Korba",16,1
364,30-04-2015,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12,17,114.9090909,"HIG 21,22.Near Ghantaghar, M.P. Extension, Korba",17,1
364,31-12-2015,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12,20,117.5371901,"HIG 21,22.Near Ghantaghar, M.P. Extension, Korba",17,1
368,31-07-2015,Chhattisgarh,Raipur,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12,34,161,"New HIG-9, Hirapur, Raipur",17,1
368,30-10-2015,Chhattisgarh,Raipur,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",14,36,172,"New HIG-9, Hirapur, Raipur",20,1
669,31-03-2015,Chhattisgarh,Bilaspur,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",7,24,103,"Regional Office, CECB Vyapar Vihar, Bilashpur",10,1
669,31-07-2015,Chhattisgarh,Bilaspur,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",7,24,99,"Regional Office, CECB Vyapar Vihar, Bilashpur",10,1
669,30-10-2015,Chhattisgarh,Bilaspur,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",6,22,103,"Regional Office, CECB Vyapar Vihar, Bilashpur",9,1
558,30-09-2015,Dadra & Nagar Haveli,Khadoli,"Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,24,91,"Khadoli Industrial Area, Village- Khadoli, Silvassa",20,1
558,30-10-2015,Dadra & Nagar Haveli,Khadoli,"Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,16,25,85,"Khadoli Industrial Area, Village- Khadoli, Silvassa",23,1
560,30-09-2015,Daman & Diu,Daman,"Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,23,76,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)",17,1
560,30-10-2015,Daman & Diu,Daman,"Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,23,81,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)",19,1
55,31-12-2015,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",13,71,270,"Nizamuddin, Delhi",19,1
58,31-12-2015,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14,49,335,"Shahadra, Delhi",20,1
531,31-12-2015,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",9,44,420,"Pritampura, Delhi",13,1
37,31-03-2015,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,6,13,59,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",9,1
37,30-04-2015,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,5,10,33,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",7,1
37,30-06-2015,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,3,8,24,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",4,1
37,31-12-2015,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,4,20,87,"On the roof of Fuse Call Office of Elec. Dept.,Vasco, Goa",6,1
327,31-07-2015,Goa,Panaji,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,6,33,"Infront of Old GSPCB premises, Patto, Panaji, Goa",6,1
327,30-09-2015,Goa,Panaji,Goa State Pollution Control Board,"Residential, Rural and other Areas",3,18,83,"Infront of Old GSPCB premises, Patto, Panaji, Goa",4,1
327,30-10-2015,Goa,Panaji,Goa State Pollution Control Board,"Residential, Rural and other Areas",6,11,91,"Infront of Old GSPCB premises, Patto, Panaji, Goa",9,1
435,31-03-2015,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,2,6,58,"Above the Fire Brigade Station, Near Birth 5A & 6A of Mormugao,Port Trust, Vasco",3,1
435,30-04-2015,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,4,5,44,"Above the Fire Brigade Station, Near Birth 5A & 6A of Mormugao,Port Trust, Vasco",6,1
435,30-06-2015,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,2,5,24,"Above the Fire Brigade Station, Near Birth 5A & 6A of Mormugao,Port Trust, Vasco",3,1
435,31-12-2015,Goa,Vasco,Goa State Pollution Control Board,Industrial Area,3,12,285,"Above the Fire Brigade Station, Near Birth 5A & 6A of Mormugao,Port Trust, Vasco",4,1
628,30-04-2015,Goa,Curchorem,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,9,48,"Curchorem, Goa",6,1
628,30-10-2015,Goa,Curchorem,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,9,58,"Curchorem, Goa",6,1
629,31-07-2015,Goa,Usgao,Goa State Pollution Control Board,"Residential, Rural and other Areas",3,7,34,"Usgao Plae, Junction",4,1
630,31-07-2015,Goa,Codli,Goa State Pollution Control Board,"Residential, Rural and other Areas",3,7,32,"Codli Tisk, Goa",4,1
631,31-07-2015,Goa,Honda,Goa State Pollution Control Board,"Residential, Rural and other Areas",2,6,37,"Honda Junction, Goa",3,1
632,31-07-2015,Goa,Bicholim,Goa State Pollution Control Board,"Residential, Rural and other Areas",3,8,47,"Bicholim, Goa",4,1
633,31-07-2015,Goa,Amona,Goa State Pollution Control Board,"Residential, Rural and other Areas",3,8,38,"Amona, Goa",4,1
634,31-07-2015,Goa,Assanora,Goa State Pollution Control Board,"Residential, Rural and other Areas",3,7,43,"Assanora Junction, Goa",4,1
774,30-04-2015,Goa,Margao,Goa State Pollution Control Board,"Residential, Rural and other Areas",3,9,47,Margao Town,4,1
774,30-10-2015,Goa,Margao,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,8,35,Margao Town,6,1
775,30-04-2015,Goa,Mapusa,Goa State Pollution Control Board,"Residential, Rural and other Areas",10,11,74,Mapusa Town,14,1
775,31-12-2015,Goa,Mapusa,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,8,127,Mapusa Town,6,1
776,30-04-2015,Goa,Ponda,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,9,38,Ponda Town,6,1
776,30-10-2015,Goa,Ponda,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,9,34,Ponda Town,6,1
777,30-04-2015,Goa,Sanguem,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,9,33,"Near Railway Station at Kalem, Sanguem",6,1
777,30-10-2015,Goa,Sanguem,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,9,36,"Near Railway Station at Kalem, Sanguem",6,1
778,30-04-2015,Goa,Tilamol,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,9,59,"Quepem, Tilamol",6,1
778,30-10-2015,Goa,Tilamol,Goa State Pollution Control Board,"Residential, Rural and other Areas",4,10,55,"Quepem, Tilamol",6,1
780,31-07-2015,Goa,Kundaim,Goa State Pollution Control Board,Industrial Area,4,9,54,Kundaim Industrial Estate,6,1
780,31-07-2015,Goa,Kundaim,Goa State Pollution Control Board,Industrial Area,4,7,45,Kundaim Industrial Estate,6,1
781,30-04-2015,Goa,Cuncolim,Goa State Pollution Control Board,Industrial Area,3,9,79,Cuncolim Industrial Estate,4,1
781,30-10-2015,Goa,Cuncolim,Goa State Pollution Control Board,Industrial Area,4,9,30,Cuncolim Industrial Estate,6,1
50,31-08-2015,Gujarat,Vadodara,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,19,75,"GPCB Office, Geri Vasahat, Vadodara",17,1
103,31-12-2015,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",18,19,54,"L.D. Engineering College, Ahmadabad",26,1
333,30-09-2015,Gujarat,Vadodara,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,20,91,"Dandia Bazaar, Vadodara",19,1
334,30-09-2015,Gujarat,Vadodara,Gujarat State Pollution Control Board,Industrial Area,15,21,83,"CETP Nandesari, Vadodara",21,1
347,31-12-2015,Gujarat,Ahmedabad,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",16,29,104,"AZL Behrampura, Ahmadabad",23,1
815,30-09-2015,Gujarat,Vadodara,Gujarat State Pollution Control Board,RIRUO,13,20,87,"GIDC OFFICE TERRACE, GIDC ESTATE JHAGADIA",19,1
