stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,location_monitoring_station,Air Quality Index,Green Zones
406,30-09-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,Sensitive Area,5,19,45,"Victoria Hospital, Bangalore",7,1
406,31-12-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,Sensitive Area,2,39,258,"Victoria Hospital, Bangalore",3,1
431,30-04-2015,Karnataka,Hubli,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,22,90,"Rani Chennamma Circle, Hubli",9,1
431,31-08-2015,Karnataka,Hubli,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",7,24,71,"Rani Chennamma Circle, Hubli",10,1
431,30-11-2015,Karnataka,Hubli,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",5,22,70,"Rani Chennamma Circle, Hubli",7,1
431,31-12-2015,Karnataka,Hubli,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",5,20,92,"Rani Chennamma Circle, Hubli",7,1
432,31-03-2015,Karnataka,Dharwad,Karnataka State Pollution Control Board,Industrial Area,6,24,75,"Lakkamanahalli Industrial Area, Dharwar",9,1
432,30-04-2015,Karnataka,Dharwad,Karnataka State Pollution Control Board,Industrial Area,7,22,68,"Lakkamanahalli Industrial Area, Dharwar",10,1
432,30-06-2015,Karnataka,Dharwad,Karnataka State Pollution Control Board,Industrial Area,6,24,41,"Lakkamanahalli Industrial Area, Dharwar",9,1
432,31-12-2015,Karnataka,Dharwad,Karnataka State Pollution Control Board,Industrial Area,5,20,78,"Lakkamanahalli Industrial Area, Dharwar",7,1
457,31-01-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,32,152,"Yeshwanthpura, Bangalore",9,1
457,31-03-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,24,180,"Yeshwanthpura, Bangalore",9,1
457,30-04-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,20,137,"Yeshwanthpura, Bangalore",9,1
457,31-07-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",5,13,43,"Yeshwanthpura, Bangalore",7,1
457,30-09-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",5,11,58,"Yeshwanthpura, Bangalore",7,1
457,30-10-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",2,16,78,"Yeshwanthpura, Bangalore",3,1
457,31-12-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",2,24,74,"Yeshwanthpura, Bangalore",3,1
458,30-10-2015,Karnataka,Hassan,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,19,25,"Narashima Raja Circle, Hassan",9,1
458,30-11-2015,Karnataka,Hassan,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,19,25,"Narashima Raja Circle, Hassan",9,1
459,30-09-2015,Karnataka,Gulbarga,Karnataka State Pollution Control Board,Sensitive Area,4.9,20.33333333,55,"Government Hospital, Gulbarga",6,1
459,30-10-2015,Karnataka,Gulbarga,Karnataka State Pollution Control Board,Sensitive Area,4.89,20.19444444,40,"Government Hospital, Gulbarga",6,1
460,31-07-2015,Karnataka,Belgaum,Karnataka State Pollution Control Board,Industrial Area,2,10,55,"Karnataka SPCB Office Building, Belgaum",3,1
488,31-03-2015,Karnataka,Mangalore,Karnataka State Pollution Control Board,Industrial Area,7,9,46,"Stides Premises, Baikampady Industrial Area, Mangalore",10,1
488,30-10-2015,Karnataka,Mangalore,Karnataka State Pollution Control Board,Industrial Area,8,5,33,"Stides Premises, Baikampady Industrial Area, Mangalore",11,1
598,28-02-2015,Karnataka,Bangalore,Karnataka State Pollution Control Board,Sensitive Area,12,17,102,"Department of Environmental Science, Jnanabharathi Campus, Bangalore University",17,1
672,31-03-2015,Karnataka,Domlur,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",7,13,71,"Vittal Medi health Care Pvt Ltd, Domlur",10,1
673,30-04-2015,Karnataka,Davangere,Karnataka State Pollution Control Board,Industrial Area,3,5,46,"KSPCB Office Premises, Devengere",4,1
673,30-11-2015,Karnataka,Davangere,Karnataka State Pollution Control Board,Industrial Area,3,5,19,"KSPCB Office Premises, Devengere",4,1
674,30-06-2015,Karnataka,Davangere,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",4,9,107,"Mothi Talkies P.B. Road, Devengere",6,1
674,31-07-2015,Karnataka,Davangere,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,12,171,"Mothi Talkies P.B. Road, Devengere",9,1
674,30-10-2015,Karnataka,Davangere,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",4,9,184,"Mothi Talkies P.B. Road, Devengere",6,1
675,31-01-2015,Karnataka,Ranebennur,Karnataka State Pollution Control Board,Industrial Area,4,5,38,"HPF Ltd., Water intake well, Ranebennur",6,1
675,30-06-2015,Karnataka,Ranebennur,Karnataka State Pollution Control Board,Industrial Area,4,9,46,"HPF Ltd., Water intake well, Ranebennur",6,1
